,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Label
302,9,1,10,6,9,5,2,7,0,12,0,2,9,0,0,1,1
303,25,1,7,6,6,6,8,4,0,13,0,6,23,1,0,2,1
304,22,0,2,7,7,6,3,2,2,7,1,5,29,0,0,0,1
305,3,0,5,3,2,0,2,2,0,8,0,1,1,0,0,0,0
306,33,1,14,6,21,12,8,12,0,17,1,5,33,1,0,4,0
307,16,0,5,6,4,6,4,10,0,17,0,3,11,0,0,1,0
308,16,0,7,10,9,9,7,8,0,16,0,1,21,0,0,1,1
309,12,0,4,5,1,2,3,3,0,8,0,1,6,2,0,1,1
310,6,0,5,3,1,2,2,5,0,10,0,0,2,0,0,0,0
311,43,0,7,19,18,9,10,15,0,23,3,3,53,4,0,2,0
312,61,0,12,21,24,16,16,21,6,38,3,10,54,0,0,5,0
313,28,0,7,11,13,16,9,11,0,27,0,2,29,1,0,2,1
314,31,0,5,11,9,5,4,4,0,10,0,11,28,0,0,3,0
315,29,0,12,16,14,14,5,12,0,32,1,6,40,0,0,4,0
316,6,0,4,4,3,0,0,2,0,6,0,1,7,0,0,0,0
317,9,0,1,1,1,4,1,0,1,5,2,1,10,0,0,0,1
318,4,0,3,4,2,2,0,0,0,2,0,0,7,0,0,0,0
319,11,0,6,6,10,6,3,4,0,10,1,3,13,0,0,1,1
320,35,0,6,12,22,9,9,4,2,12,0,4,40,2,0,4,0
321,6,0,3,4,3,3,1,3,0,5,1,1,7,0,0,1,0
322,17,0,11,6,13,6,9,3,0,10,4,4,12,0,0,1,1
323,65,0,18,44,34,17,22,32,1,39,0,15,71,0,0,16,0
324,16,0,5,6,4,6,4,10,0,17,0,3,11,0,0,1,0
325,43,0,13,24,15,10,15,14,0,36,8,7,40,4,0,1,1
326,17,0,3,7,8,7,9,3,3,16,0,1,19,0,0,4,1
327,6,0,2,2,3,2,2,1,0,10,1,0,9,0,0,0,0
328,53,0,19,23,31,16,16,17,0,28,1,5,59,0,0,4,0
329,26,0,11,14,11,11,8,9,0,36,2,5,30,2,0,1,0
330,23,0,4,11,14,4,6,14,1,13,0,3,19,0,0,3,0
331,17,0,9,11,4,2,4,1,1,9,2,2,10,1,0,2,0
332,14,0,2,5,12,11,1,3,0,6,0,5,14,0,0,2,1
333,58,0,21,22,29,18,9,17,2,12,1,7,67,3,0,4,0
334,71,2,24,44,38,28,20,28,0,56,6,12,77,11,0,15,0
335,16,0,5,10,5,6,4,11,0,29,1,4,14,1,0,1,1
336,73,4,19,28,29,14,23,20,0,41,2,10,75,4,0,5,1
337,20,1,11,10,17,2,7,5,0,19,1,0,13,5,0,1,0
338,19,0,3,9,20,4,6,2,0,7,0,5,18,1,0,1,0
339,120,0,33,51,52,37,36,50,2,68,1,20,135,0,0,29,0
340,27,0,7,12,8,7,7,8,0,11,0,6,25,2,0,7,0
341,42,0,11,24,17,9,8,22,1,39,1,8,33,2,0,3,1
342,6,0,6,3,7,1,4,3,0,6,1,0,4,2,0,0,0
343,34,0,12,15,18,7,6,18,1,30,0,2,40,2,0,3,0
344,64,2,26,34,41,28,29,38,3,62,0,6,59,0,0,5,0
345,26,0,4,12,6,4,7,8,0,14,2,6,26,0,0,1,0
346,18,0,8,7,7,1,5,5,1,16,1,7,15,0,0,2,0
347,82,0,27,38,25,14,20,24,2,46,0,13,80,10,0,15,0
348,12,0,7,6,0,3,4,4,0,6,0,2,10,0,0,3,0
349,14,0,6,10,6,6,4,3,0,12,4,1,16,0,0,1,0
350,25,0,3,14,12,4,7,9,2,21,0,6,30,4,0,1,0
351,8,0,3,6,7,1,1,2,2,6,0,3,11,0,0,0,1
352,24,0,5,8,7,10,7,13,0,20,2,1,25,0,0,3,1
353,7,0,4,4,2,5,2,1,0,10,0,0,8,0,0,1,1
354,37,0,8,16,30,16,15,12,3,11,2,7,36,0,0,3,0
355,22,0,15,15,9,8,5,15,0,30,1,3,24,2,0,5,0
356,11,0,3,5,7,6,3,4,0,5,1,2,8,2,0,2,0
357,33,2,8,9,19,10,7,6,0,11,1,4,36,0,0,0,1
358,26,0,9,11,6,9,6,7,0,20,2,3,32,0,0,4,1
359,14,1,4,4,12,1,4,3,0,6,0,2,8,1,0,0,1
360,48,3,14,25,16,11,11,23,0,31,0,5,36,2,0,2,0
361,20,0,6,9,5,4,4,15,0,21,1,5,10,0,0,1,1
362,22,0,5,14,10,7,12,7,1,22,1,5,29,2,0,4,1
363,23,0,9,10,11,10,5,6,0,5,1,5,30,2,0,5,0
364,15,0,7,10,6,8,4,4,1,15,1,1,22,1,0,0,0
365,22,0,8,4,16,7,10,3,0,8,3,2,22,1,0,4,1
366,45,0,12,24,24,15,9,17,1,27,2,4,41,1,0,2,1
367,28,0,11,17,5,6,12,13,0,23,0,5,31,4,0,3,1
368,26,0,8,9,7,6,15,10,0,16,0,6,29,0,0,2,1
369,22,0,3,9,14,9,7,9,0,11,5,5,27,0,0,1,0
370,70,0,14,26,42,28,6,6,0,32,2,8,74,0,0,6,1
371,15,0,3,6,4,4,4,5,0,8,0,2,13,0,0,1,1
372,31,0,10,12,4,11,6,12,0,22,0,6,28,2,0,6,1
373,11,0,5,4,7,4,5,8,2,14,1,0,17,0,0,1,0
374,34,0,4,21,24,13,8,20,2,30,2,8,42,0,0,6,1
375,12,0,7,10,4,3,2,10,2,13,0,3,8,0,0,2,0
376,17,0,8,12,6,7,4,9,0,14,0,5,13,0,0,0,0
377,28,0,4,11,10,11,5,7,0,21,1,4,25,0,0,2,1
378,28,0,1,16,13,3,4,7,0,11,0,5,30,1,0,4,0
379,8,0,3,4,4,5,3,3,0,6,0,0,5,0,0,2,1
380,16,0,3,14,5,7,4,4,0,14,4,1,20,2,0,4,1
381,7,0,4,9,3,2,1,3,0,10,1,1,12,1,0,1,0
382,27,0,8,13,10,9,8,12,4,20,0,3,24,1,0,6,0
