,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Label
230,15,0,8,1,4,1,0,0,0,15,1,0,4,0,18,1,0,0
231,35,2,7,0,12,2,0,0,1,25,2,6,1,0,23,0,0,1
232,25,0,8,0,7,2,0,0,1,22,3,2,2,1,6,0,0,1
233,14,0,1,1,4,1,0,0,0,11,1,0,0,0,4,0,0,0
234,4,0,0,0,0,0,0,0,0,7,0,0,1,0,3,0,0,1
235,28,1,8,0,7,7,0,0,0,23,3,4,2,4,13,0,0,1
236,7,0,3,1,5,1,0,0,0,10,1,0,0,0,6,0,0,1
237,11,0,5,1,4,3,0,2,1,17,0,3,0,1,14,0,0,1
238,20,0,8,2,6,5,0,0,1,21,1,4,1,2,14,0,0,0
239,8,0,9,0,4,0,0,0,0,9,1,0,3,1,6,0,0,0
240,12,0,6,0,4,0,0,0,1,16,0,0,1,0,8,0,0,1
241,14,1,7,0,1,1,0,1,1,16,2,0,1,1,18,0,0,0
242,5,0,8,0,2,0,0,0,0,10,1,0,1,0,9,0,0,1
243,16,0,3,2,6,3,0,0,0,8,2,3,0,0,12,0,0,0
244,20,2,6,0,6,2,0,0,0,26,2,2,0,7,9,0,0,1
245,11,0,1,1,3,0,0,0,1,10,1,2,0,1,7,1,0,0
246,10,0,0,0,5,0,0,0,0,11,1,0,0,2,11,0,0,1
247,7,0,4,0,2,0,0,0,1,11,0,0,3,1,6,0,0,1
248,29,0,10,1,10,7,1,0,0,21,0,0,2,1,18,1,0,0
249,10,0,7,1,3,3,0,0,1,8,0,1,0,0,8,0,0,1
250,9,1,7,0,4,3,0,0,0,11,1,1,0,0,10,0,0,1
251,9,0,8,0,4,0,0,0,2,29,0,2,3,5,16,0,1,1
252,14,0,1,0,9,1,0,0,0,14,2,1,2,1,12,0,0,0
253,40,0,8,5,12,6,0,1,2,43,2,3,4,1,1,0,0,0
254,13,0,6,0,3,5,0,0,0,16,0,4,0,0,13,0,0,1
255,21,0,1,0,8,2,1,1,1,34,0,0,0,1,29,0,0,0
256,14,0,10,0,5,4,0,1,0,10,0,3,2,0,13,0,0,0
257,20,0,5,2,8,1,0,0,1,22,0,0,2,1,22,1,0,1
258,12,0,2,0,2,0,0,0,0,8,1,0,0,0,5,0,0,1
259,11,1,4,0,0,2,0,0,0,9,0,2,2,1,7,0,0,0
260,14,0,5,1,4,1,0,0,1,7,1,1,0,0,14,0,0,1
261,16,0,7,0,4,6,0,1,0,17,0,1,1,0,9,2,0,0
262,98,1,23,6,50,8,1,3,2,95,8,0,7,2,37,5,0,0
263,6,0,0,0,3,0,0,0,0,3,0,0,1,0,6,0,0,1
264,123,1,55,4,31,26,0,0,2,119,9,12,7,2,85,3,1,0
265,29,0,16,0,10,4,0,0,1,34,1,2,0,0,13,0,0,0
266,8,0,4,0,0,1,0,0,0,11,0,0,0,0,8,0,1,0
267,8,0,4,0,2,6,0,0,0,5,2,2,1,3,5,0,0,1
268,15,0,7,1,10,1,0,0,0,16,0,0,0,0,15,0,0,0
269,11,0,9,0,2,1,0,0,1,14,5,0,2,0,13,0,1,1
270,16,0,5,1,2,2,3,1,1,19,1,4,0,2,8,0,0,1
271,15,0,5,0,8,1,0,0,0,17,1,1,0,1,22,0,1,0
272,9,0,4,0,5,1,0,0,0,17,0,0,1,0,9,1,0,0
273,34,0,9,2,15,9,1,1,0,44,1,6,1,3,23,0,0,0
274,37,0,13,4,8,9,0,1,1,45,10,4,4,1,33,0,1,1
275,15,0,9,2,4,1,0,0,0,16,2,0,0,2,10,0,0,1
276,11,0,7,0,5,0,0,0,0,13,1,2,1,0,13,0,0,1
277,23,0,8,2,9,3,0,0,0,18,0,0,2,2,14,0,0,1
278,1,0,1,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0
279,13,0,4,2,11,1,0,0,0,12,4,0,1,0,15,0,0,0
280,10,0,2,1,0,4,0,0,0,12,0,1,0,0,1,0,0,1
281,4,0,6,0,2,2,0,0,0,7,1,0,0,0,4,0,0,1
282,26,0,15,0,9,2,0,0,0,35,1,1,7,2,40,1,0,0
283,14,0,5,0,6,1,0,0,2,10,1,0,0,0,16,1,0,1
284,13,0,6,0,6,2,0,1,1,29,2,0,0,1,11,0,0,0
285,14,2,3,0,0,2,0,0,0,18,1,0,2,3,12,1,0,1
286,12,0,3,1,5,2,0,0,0,9,0,0,0,1,11,0,0,1
287,11,0,3,1,4,1,0,0,0,12,1,0,2,0,9,0,0,0
288,41,1,22,2,9,0,1,1,0,43,1,0,3,1,49,0,0,0
289,27,0,8,2,7,8,0,1,1,32,4,2,4,1,24,1,0,0
290,36,0,5,1,2,7,3,0,1,23,1,2,0,1,16,1,0,1
291,11,0,4,0,1,0,0,0,0,14,2,0,0,3,13,0,0,0
292,16,0,11,0,8,1,0,0,0,9,1,0,3,0,19,0,0,0
293,16,0,2,0,7,6,0,1,0,13,1,3,3,6,1,0,0,1
294,20,1,11,2,14,0,0,0,0,20,2,0,1,2,20,1,0,1
295,19,0,8,2,5,2,0,0,1,27,1,0,1,0,15,1,0,0
296,12,0,6,2,3,0,0,0,0,11,1,0,2,0,16,0,1,0
297,17,0,9,1,0,3,0,0,0,24,0,0,1,1,25,0,0,0
298,13,0,4,0,1,0,0,0,0,11,0,0,1,1,10,1,0,1
299,6,0,3,0,3,1,0,0,0,6,0,0,2,0,6,0,0,1
300,23,0,6,1,9,1,0,0,0,31,8,3,2,0,32,0,0,1
301,11,0,9,0,5,2,0,1,0,19,0,0,0,0,19,2,0,0
302,6,0,7,0,4,1,0,0,1,11,0,0,0,0,9,0,0,1
